country,date,cases,deaths,uci,hospitalizations,cases_non_cum,deaths_non_cum,uci_non_cum,iso
Argentina,2020-03-21,158,4,0,0,30,1,0,ARG
Argentina,2020-03-22,266,4,0,0,108,0,0,ARG
Argentina,2020-03-23,266,4,0,0,0,0,0,ARG
Argentina,2020-03-24,387,6,0,0,121,2,0,ARG
Argentina,2020-03-25,387,8,0,0,0,2,0,ARG
Argentina,2020-03-26,502,9,0,0,115,1,0,ARG
Argentina,2020-03-27,589,13,0,0,87,4,0,ARG
Argentina,2020-03-28,690,18,0,0,101,5,0,ARG
Argentina,2020-03-29,745,19,0,0,55,1,0,ARG
Argentina,2020-03-30,820,23,0,0,75,4,0,ARG
Armenia,2020-03-01,1,0,0,0,1,0,0,ARM
Armenia,2020-03-02,1,0,0,0,0,0,0,ARM
Armenia,2020-03-03,1,0,0,0,0,0,0,ARM
Armenia,2020-03-04,1,0,0,0,0,0,0,ARM
Armenia,2020-03-05,1,0,0,0,0,0,0,ARM
Armenia,2020-03-06,1,0,0,0,0,0,0,ARM
Armenia,2020-03-07,1,0,0,0,0,0,0,ARM
Armenia,2020-03-08,1,0,0,0,0,0,0,ARM
Armenia,2020-03-09,1,0,0,0,0,0,0,ARM
Armenia,2020-03-10,1,0,0,0,0,0,0,ARM
Armenia,2020-03-11,1,0,0,0,0,0,0,ARM
Armenia,2020-03-12,4,0,0,0,3,0,0,ARM
Armenia,2020-03-13,8,0,0,0,4,0,0,ARM
Armenia,2020-03-14,18,0,0,0,10,0,0,ARM
Armenia,2020-03-15,26,0,0,0,8,0,0,ARM
Armenia,2020-03-16,52,0,0,0,26,0,0,ARM
Armenia,2020-03-17,78,0,0,0,26,0,0,ARM
Armenia,2020-03-18,84,0,0,0,6,0,0,ARM
Armenia,2020-03-19,115,0,0,0,31,0,0,ARM
Armenia,2020-03-20,136,0,0,0,21,0,0,ARM
Armenia,2020-03-21,160,0,0,0,24,0,0,ARM
Armenia,2020-03-22,194,0,0,0,34,0,0,ARM
Armenia,2020-03-23,235,0,0,0,41,0,0,ARM
Armenia,2020-03-24,249,0,0,0,14,0,0,ARM
Armenia,2020-03-25,265,0,0,0,16,0,0,ARM
Armenia,2020-03-26,290,1,0,0,25,1,0,ARM
Armenia,2020-03-27,329,1,0,0,39,0,0,ARM
Armenia,2020-03-28,407,1,0,0,78,0,0,ARM
Armenia,2020-03-29,424,3,0,0,17,2,0,ARM
Armenia,2020-03-30,482,3,0,0,58,0,0,ARM
Aruba,2020-03-13,2,0,0,0,2,0,0,ABW
Aruba,2020-03-14,2,0,0,0,0,0,0,ABW
Aruba,2020-03-15,2,0,0,0,0,0,0,ABW
Aruba,2020-03-16,2,0,0,0,0,0,0,ABW
Aruba,2020-03-17,3,0,0,0,1,0,0,ABW
Aruba,2020-03-18,4,0,0,0,1,0,0,ABW
Aruba,2020-03-19,4,0,0,0,0,0,0,ABW
Australia,2020-01-23,0,0,0,0,0,0,0,AUS
Australia,2020-01-25,4,0,0,0,4,0,0,AUS
Australia,2020-01-26,4,0,0,0,0,0,0,AUS
Australia,2020-01-27,5,0,0,0,1,0,0,AUS
Australia,2020-01-28,5,0,0,0,0,0,0,AUS
Australia,2020-01-29,5,0,0,0,0,0,0,AUS
Australia,2020-01-30,9,0,0,0,4,0,0,AUS
Australia,2020-01-31,9,0,0,0,0,0,0,AUS
Australia,2020-02-01,12,0,0,0,3,0,0,AUS
Australia,2020-02-02,12,0,0,0,0,0,0,AUS
Australia,2020-02-03,12,0,0,0,0,0,0,AUS
Australia,2020-02-04,13,0,0,0,1,0,0,AUS
Australia,2020-02-05,13,0,0,0,0,0,0,AUS
Australia,2020-02-06,14,0,0,0,1,0,0,AUS
Australia,2020-02-07,15,0,0,0,1,0,0,AUS
Australia,2020-02-08,15,0,0,0,0,0,0,AUS
Australia,2020-02-09,15,0,0,0,0,0,0,AUS
Australia,2020-02-10,15,0,0,0,0,0,0,AUS
Australia,2020-02-11,15,0,0,0,0,0,0,AUS
Australia,2020-02-12,15,0,0,0,0,0,0,AUS
Australia,2020-02-13,15,0,0,0,0,0,0,AUS
Australia,2020-02-14,15,0,0,0,0,0,0,AUS
Australia,2020-02-15,15,0,0,0,0,0,0,AUS
Australia,2020-02-16,15,0,0,0,0,0,0,AUS
Australia,2020-02-17,15,0,0,0,0,0,0,AUS
Australia,2020-02-18,15,0,0,0,0,0,0,AUS
Australia,2020-02-19,15,0,0,0,0,0,0,AUS
Australia,2020-02-20,15,0,0,0,0,0,0,AUS
Australia,2020-02-21,19,0,0,0,4,0,0,AUS
Australia,2020-02-22,22,0,0,0,3,0,0,AUS
Australia,2020-02-23,22,0,0,0,0,0,0,AUS
Australia,2020-02-24,22,0,0,0,0,0,0,AUS
Australia,2020-02-25,22,0,0,0,0,0,0,AUS
Australia,2020-02-26,22,0,0,0,0,0,0,AUS
Australia,2020-02-27,23,0,0,0,1,0,0,AUS
Australia,2020-02-28,23,0,0,0,0,0,0,AUS
Australia,2020-02-29,25,0,0,0,2,0,0,AUS
Australia,2020-03-01,27,1,0,0,2,1,0,AUS
Australia,2020-03-02,30,1,0,0,3,0,0,AUS
Australia,2020-03-03,39,1,0,0,9,0,0,AUS
Australia,2020-03-04,52,2,0,0,13,1,0,AUS
Australia,2020-03-05,55,2,0,0,3,0,0,AUS
Australia,2020-03-06,60,2,0,0,5,0,0,AUS
Australia,2020-03-07,63,2,0,0,3,0,0,AUS
Australia,2020-03-08,76,4,0,0,13,2,0,AUS
Australia,2020-03-09,91,4,0,0,15,0,0,AUS
Australia,2020-03-10,107,3,0,0,16,-1,0,AUS
Australia,2020-03-11,128,3,0,0,21,0,0,AUS
Australia,2020-03-12,128,3,0,0,0,0,0,AUS
Australia,2020-03-13,200,3,0,0,72,0,0,AUS
Australia,2020-03-14,250,3,0,0,50,0,0,AUS
Australia,2020-03-15,297,3,0,0,47,0,0,AUS
Australia,2020-03-16,377,3,0,0,80,0,0,AUS
Australia,2020-03-17,452,5,0,0,75,2,0,AUS
Australia,2020-03-18,568,6,0,0,116,1,0,AUS
Australia,2020-03-19,681,6,0,0,113,0,0,AUS
Australia,2020-03-20,791,7,0,0,110,1,0,AUS
Australia,2020-03-21,1071,7,0,0,280,0,0,AUS
Australia,2020-03-22,1490,7,0,0,419,0,0,AUS
Australia,2020-03-23,1682,7,0,0,192,0,0,AUS
Australia,2020-03-24,2044,8,0,0,362,1,0,AUS
Australia,2020-03-25,2364,8,0,0,320,0,0,AUS
Australia,2020-03-26,2810,13,0,0,446,5,0,AUS
Australia,2020-03-27,3143,13,0,0,333,0,0,AUS
Australia,2020-03-28,3640,14,0,0,497,1,0,AUS
Australia,2020-03-29,3984,16,0,0,344,2,0,AUS
Australia,2020-03-30,4361,17,0,0,377,1,0,AUS
Austria,2020-02-25,2,0,0,0,2,0,0,AUT
Austria,2020-02-26,2,0,0,0,0,0,0,AUT
Austria,2020-02-27,3,0,0,0,1,0,0,AUT
Austria,2020-02-28,3,0,0,0,0,0,0,AUT
Austria,2020-02-29,9,0,0,0,6,0,0,AUT
Austria,2020-03-01,14,0,0,0,5,0,0,AUT
Austria,2020-03-02,18,0,0,0,4,0,0,AUT
Austria,2020-03-03,21,0,0,0,3,0,0,AUT
Austria,2020-03-04,29,0,0,0,8,0,0,AUT
Austria,2020-03-05,41,0,0,0,12,0,0,AUT
Austria,2020-03-06,55,0,0,0,14,0,0,AUT
Austria,2020-03-07,79,0,0,0,24,0,0,AUT
Austria,2020-03-08,104,0,0,0,25,0,0,AUT
Austria,2020-03-09,131,0,0,0,27,0,0,AUT
Austria,2020-03-10,182,0,0,0,51,0,0,AUT
Austria,2020-03-11,246,0,0,0,64,0,0,AUT
Austria,2020-03-12,302,1,0,0,56,1,0,AUT
Austria,2020-03-13,504,1,0,0,202,0,0,AUT
Austria,2020-03-14,655,1,0,0,151,0,0,AUT
Austria,2020-03-15,860,1,0,0,205,0,0,AUT
Austria,2020-03-16,1018,3,0,0,158,2,0,AUT
Austria,2020-03-17,1332,3,0,0,314,0,0,AUT
Austria,2020-03-18,1646,4,0,0,314,1,0,AUT
Austria,2020-03-19,2013,6,0,0,367,2,0,AUT
Austria,2020-03-20,2388,6,0,0,375,0,0,AUT
Austria,2020-03-21,2814,8,0,0,426,2,0,AUT
Austria,2020-03-22,3580,16,0,0,766,8,0,AUT
Austria,2020-03-23,4474,21,0,0,894,5,0,AUT
Austria,2020-03-24,5283,28,0,0,809,7,0,AUT
Austria,2020-03-25,5588,30,0,0,305,2,0,AUT
Austria,2020-03-26,6909,49,0,0,1321,19,0,AUT
Austria,2020-03-27,7657,58,0,0,748,9,0,AUT
Austria,2020-03-28,8271,68,0,0,614,10,0,AUT
Austria,2020-03-29,8788,86,0,0,517,18,0,AUT
Austria,2020-03-30,9618,108,0,0,830,22,0,AUT
Azerbaijan,2020-02-28,1,0,0,0,1,0,0,AZE
Azerbaijan,2020-03-01,3,0,0,0,2,0,0,AZE
Azerbaijan,2020-03-02,3,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-03,3,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-04,3,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-05,6,0,0,0,3,0,0,AZE
Azerbaijan,2020-03-06,6,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-07,9,0,0,0,3,0,0,AZE
Azerbaijan,2020-03-08,9,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-09,9,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-10,11,0,0,0,2,0,0,AZE
Azerbaijan,2020-03-11,11,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-12,11,0,0,0,0,0,0,AZE
Azerbaijan,2020-03-13,15,1,0,0,4,1,0,AZE
Azerbaijan,2020-03-14,15,1,0,0,0,0,0,AZE
Azerbaijan,2020-03-15,23,1,0,0,8,0,0,AZE
Azerbaijan,2020-03-16,15,1,0,0,-8,0,0,AZE
Azerbaijan,2020-03-17,28,1,0,0,13,0,0,AZE
Azerbaijan,2020-03-18,28,1,0,0,0,0,0,AZE
Azerbaijan,2020-03-19,44,1,0,0,16,0,0,AZE
Azerbaijan,2020-03-20,44,1,0,0,0,0,0,AZE
Azerbaijan,2020-03-21,53,1,0,0,9,0,0,AZE
Azerbaijan,2020-03-22,65,1,0,0,12,0,0,AZE
Azerbaijan,2020-03-23,72,1,0,0,7,0,0,AZE
Azerbaijan,2020-03-24,87,1,0,0,15,0,0,AZE
Azerbaijan,2020-03-25,93,2,0,0,6,1,0,AZE
Azerbaijan,2020-03-26,122,3,0,0,29,1,0,AZE
Azerbaijan,2020-03-27,165,3,0,0,43,0,0,AZE
Azerbaijan,2020-03-28,182,4,0,0,17,1,0,AZE
Azerbaijan,2020-03-29,209,4,0,0,27,0,0,AZE
Azerbaijan,2020-03-30,273,4,0,0,64,0,0,AZE
Bahamas,2020-03-22,4,0,0,0,4,0,0,BHS
Bahamas,2020-03-23,4,0,0,0,0,0,0,BHS
Bahamas,2020-03-24,5,0,0,0,1,0,0,BHS
Bahamas,2020-03-25,5,0,0,0,0,0,0,BHS
Bahamas,2020-03-26,9,0,0,0,4,0,0,BHS
Bahamas,2020-03-27,10,0,0,0,1,0,0,BHS
Bahamas,2020-03-28,10,0,0,0,0,0,0,BHS
Bahamas,2020-03-29,11,0,0,0,1,0,0,BHS
Bahamas,2020-03-30,14,0,0,0,3,0,0,BHS
"Bahamas, The",2020-03-19,3,0,0,0,3,0,0,BHS
"Bahamas, The",2020-03-20,3,0,0,0,0,0,0,BHS
"Bahamas, The",2020-03-21,4,0,0,0,1,0,0,BHS
Bahrain,2020-02-24,1,0,0,0,1,0,0,BHR
Bahrain,2020-02-25,23,0,0,0,22,0,0,BHR
Bahrain,2020-02-26,33,0,0,0,10,0,0,BHR
Bahrain,2020-02-27,33,0,0,0,0,0,0,BHR
Bahrain,2020-02-28,36,0,0,0,3,0,0,BHR
Bahrain,2020-02-29,41,0,0,0,5,0,0,BHR
Bahrain,2020-03-01,47,0,0,0,6,0,0,BHR
Bahrain,2020-03-02,49,0,0,0,2,0,0,BHR
Bahrain,2020-03-03,49,0,0,0,0,0,0,BHR
Bahrain,2020-03-04,52,0,0,0,3,0,0,BHR
Bahrain,2020-03-05,55,0,0,0,3,0,0,BHR
Bahrain,2020-03-06,60,0,0,0,5,0,0,BHR
Bahrain,2020-03-07,85,0,0,0,25,0,0,BHR
Bahrain,2020-03-08,85,0,0,0,0,0,0,BHR
Bahrain,2020-03-09,95,0,0,0,10,0,0,BHR
Bahrain,2020-03-10,110,0,0,0,15,0,0,BHR
Bahrain,2020-03-11,195,0,0,0,85,0,0,BHR
Bahrain,2020-03-12,195,0,0,0,0,0,0,BHR
Bahrain,2020-03-13,189,0,0,0,-6,0,0,BHR
Bahrain,2020-03-14,210,0,0,0,21,0,0,BHR
Bahrain,2020-03-15,214,0,0,0,4,0,0,BHR
Bahrain,2020-03-16,214,1,0,0,0,1,0,BHR
Bahrain,2020-03-17,228,1,0,0,14,0,0,BHR
Bahrain,2020-03-18,256,1,0,0,28,0,0,BHR
Bahrain,2020-03-19,278,1,0,0,22,0,0,BHR
Bahrain,2020-03-20,285,1,0,0,7,0,0,BHR
Bahrain,2020-03-21,305,1,0,0,20,0,0,BHR
Bahrain,2020-03-22,334,2,0,0,29,1,0,BHR
Bahrain,2020-03-23,377,2,0,0,43,0,0,BHR
Bahrain,2020-03-24,392,3,0,0,15,1,0,BHR
Bahrain,2020-03-25,419,4,0,0,27,1,0,BHR
Bahrain,2020-03-26,458,4,0,0,39,0,0,BHR
Bahrain,2020-03-27,466,4,0,0,8,0,0,BHR
Bahrain,2020-03-28,476,4,0,0,10,0,0,BHR
Bahrain,2020-03-29,499,4,0,0,23,0,0,BHR
Bahrain,2020-03-30,515,4,0,0,16,0,0,BHR
Bangladesh,2020-03-08,3,0,0,0,3,0,0,BGD
Bangladesh,2020-03-09,3,0,0,0,0,0,0,BGD
Bangladesh,2020-03-10,3,0,0,0,0,0,0,BGD
Bangladesh,2020-03-11,3,0,0,0,0,0,0,BGD
Bangladesh,2020-03-12,3,0,0,0,0,0,0,BGD
Bangladesh,2020-03-13,3,0,0,0,0,0,0,BGD
Bangladesh,2020-03-14,3,0,0,0,0,0,0,BGD
Bangladesh,2020-03-15,5,0,0,0,2,0,0,BGD
Bangladesh,2020-03-16,8,0,0,0,3,0,0,BGD
Bangladesh,2020-03-17,10,0,0,0,2,0,0,BGD
Bangladesh,2020-03-18,14,1,0,0,4,1,0,BGD
Bangladesh,2020-03-19,17,1,0,0,3,0,0,BGD
Bangladesh,2020-03-20,20,1,0,0,3,0,0,BGD
Bangladesh,2020-03-21,25,2,0,0,5,1,0,BGD
Bangladesh,2020-03-22,27,2,0,0,2,0,0,BGD
Bangladesh,2020-03-23,33,3,0,0,6,1,0,BGD
Bangladesh,2020-03-24,39,4,0,0,6,1,0,BGD
Bangladesh,2020-03-25,39,5,0,0,0,1,0,BGD
Bangladesh,2020-03-26,44,5,0,0,5,0,0,BGD
Bangladesh,2020-03-27,48,5,0,0,4,0,0,BGD
Bangladesh,2020-03-28,48,5,0,0,0,0,0,BGD
Bangladesh,2020-03-29,48,5,0,0,0,0,0,BGD
Bangladesh,2020-03-30,49,5,0,0,1,0,0,BGD
Barbados,2020-03-17,2,0,0,0,2,0,0,BRB
Barbados,2020-03-18,2,0,0,0,0,0,0,BRB
Barbados,2020-03-19,5,0,0,0,3,0,0,BRB
Barbados,2020-03-20,5,0,0,0,0,0,0,BRB
Barbados,2020-03-21,6,0,0,0,1,0,0,BRB
Barbados,2020-03-22,14,0,0,0,8,0,0,BRB
Barbados,2020-03-23,17,0,0,0,3,0,0,BRB
Barbados,2020-03-24,18,0,0,0,1,0,0,BRB
Barbados,2020-03-25,18,0,0,0,0,0,0,BRB
Barbados,2020-03-26,18,0,0,0,0,0,0,BRB
Barbados,2020-03-27,24,0,0,0,6,0,0,BRB
Barbados,2020-03-28,26,0,0,0,2,0,0,BRB
Barbados,2020-03-29,33,0,0,0,7,0,0,BRB
Barbados,2020-03-30,33,0,0,0,0,0,0,BRB
Belarus,2020-02-28,1,0,0,0,1,0,0,BLR
Belarus,2020-02-29,1,0,0,0,0,0,0,BLR
Belarus,2020-03-01,1,0,0,0,0,0,0,BLR
Belarus,2020-03-02,1,0,0,0,0,0,0,BLR
Belarus,2020-03-03,1,0,0,0,0,0,0,BLR
Belarus,2020-03-04,6,0,0,0,5,0,0,BLR
Belarus,2020-03-05,6,0,0,0,0,0,0,BLR
Belarus,2020-03-06,6,0,0,0,0,0,0,BLR
Belarus,2020-03-07,6,0,0,0,0,0,0,BLR
Belarus,2020-03-08,6,0,0,0,0,0,0,BLR
Belarus,2020-03-09,6,0,0,0,0,0,0,BLR
Belarus,2020-03-10,9,0,0,0,3,0,0,BLR
Belarus,2020-03-11,9,0,0,0,0,0,0,BLR
Belarus,2020-03-12,12,0,0,0,3,0,0,BLR
Belarus,2020-03-13,27,0,0,0,15,0,0,BLR
Belarus,2020-03-14,27,0,0,0,0,0,0,BLR
Belarus,2020-03-15,27,0,0,0,0,0,0,BLR
Belarus,2020-03-16,36,0,0,0,9,0,0,BLR
Belarus,2020-03-17,36,0,0,0,0,0,0,BLR
Belarus,2020-03-18,51,0,0,0,15,0,0,BLR
Belarus,2020-03-19,51,0,0,0,0,0,0,BLR
